"#","00_IDENTIFICADOR DE L'ALUMNE/A","01_NOM","02_DATA NAIXEMENT","03_RESPONSABLE 1","04_TELÈFON RESP. 1","05_MÒBIL RESP. 1","06_ADREÇA ELECTR. RESP. 1","07_RESPONSABLE 2","08_TELÈFON RESP. 2","09_MÒBIL RESP. 2","10_ADREÇA ELECTR. RESP. 2","11_ADREÇA","12_LOCALITAT","13_MUNICIPI","14_CORREU ELECTRÒNIC","15_ALTRES TELÈFONS","16_CENTRE PROCEDÈNCIA","17_GRUPSCLASSE"
"1","90427064035","Mateo Segura, Nil","22/08/1996","Asensio Carreras, Eva","+34 XXXXXXX","+34 XXXXXXX","nil@mailintaor.com","Puig Roca, Naia","+34 XXXXZZZZ","+34 XXXXLLL","eva@mailintaor.com","c/ de l'aviador Naia Puig Roca","L'Armentera","Albanyà","nil@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","97206643733","Soriano Sierra, Bernat","24/04/1990","Valencia Plaza, Daniel","+34 XXXXXXX","+34 XXXXXXX","bernat@mailintaor.com","Cardona Rivas, Ismael","+34 XXXXZZZZ","+34 XXXXLLL","daniel@mailintaor.com","c/ de l'aviador Ismael Cardona Rivas","L'Armentera","Albanyà","bernat@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","39890670171","Benito Vicente, Carlota","24/11/1992","Zamora Silva, Aya","+34 XXXXXXX","+34 XXXXXXX","carlota@mailintaor.com","Carrasco Vicente, Lluc","+34 XXXXZZZZ","+34 XXXXLLL","aya@mailintaor.com","c/ de l'aviador Lluc Carrasco Vicente","L'Armentera","Albanyà","carlota@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","53461312837","Pacheco Singh, Jordi","02/05/1999","Blanch Gracia, Carla","+34 XXXXXXX","+34 XXXXXXX","jordi@mailintaor.com","Mendez Amaya, Nora","+34 XXXXZZZZ","+34 XXXXLLL","carla@mailintaor.com","c/ de l'aviador Nora Mendez Amaya","L'Armentera","Albanyà","jordi@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","92078581211","Franco Pozo, Emma","09/07/1993","Pastor Flores, Aitana","+34 XXXXXXX","+34 XXXXXXX","emma@mailintaor.com","Font Gallardo, Ainara","+34 XXXXZZZZ","+34 XXXXLLL","aitana@mailintaor.com","c/ de l'aviador Ainara Font Gallardo","L'Armentera","Albanyà","emma@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","85702151765","Rosell Serra, Sergi","22/06/1992","Ramon Ortiz, Rayan","+34 XXXXXXX","+34 XXXXXXX","sergi@mailintaor.com","Sola Soriano, Álvaro","+34 XXXXZZZZ","+34 XXXXLLL","rayan@mailintaor.com","c/ de l'aviador Álvaro Sola Soriano","L'Armentera","Albanyà","sergi@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","70103294028","Guerrero Peña, Abril","01/08/1995","Casanova Carreras, Carlos","+34 XXXXXXX","+34 XXXXXXX","abril@mailintaor.com","Sanz Cruz, Nerea","+34 XXXXZZZZ","+34 XXXXLLL","carlos@mailintaor.com","c/ de l'aviador Nerea Sanz Cruz","L'Armentera","Albanyà","abril@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","87182027588","Diez Requena, Emma","14/06/1996","Nuñez Torrent, Eloi","+34 XXXXXXX","+34 XXXXXXX","emma@mailintaor.com","Acosta Abad, Naia","+34 XXXXZZZZ","+34 XXXXLLL","eloi@mailintaor.com","c/ de l'aviador Naia Acosta Abad","L'Armentera","Albanyà","emma@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","94507493274","Avila Santos, Ariadna","29/05/1996","Vargas Arias, Iker","+34 XXXXXXX","+34 XXXXXXX","ariadna@mailintaor.com","Beltran Santos, Alexandra","+34 XXXXZZZZ","+34 XXXXLLL","iker@mailintaor.com","c/ de l'aviador Alexandra Beltran Santos","L'Armentera","Albanyà","ariadna@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","89786443063","Hernandez Blanco, David","10/01/1993","Miguel Robles, Nil","+34 XXXXXXX","+34 XXXXXXX","david@mailintaor.com","Castaño Aguilera, Jan","+34 XXXXZZZZ","+34 XXXXLLL","nil@mailintaor.com","c/ de l'aviador Jan Castaño Aguilera","L'Armentera","Albanyà","david@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
